word	ANEW #	fem_cat	mean_hap	sd_hap	mean_ang	sd_ang	mean_sad	sd_sad	mean_fear	sd_fear	mean_dis	sd_dis	n
kick	834	   	1.26	0.8652	2.68	1.385	1.74	0.9645	2.14	1.1794	1.71	1.1552	43
kids	835	H  	4.4	0.9347	1.57	0.8823	1.4	0.7632	1.63	1.1614	1.03	0.3661	43
killer	244	*	1	0	4.37	0.9086	3.97	1.2988	4.69	0.7051	4.09	1.4292	46
kind	245	H  	4.18	0.9839	1.12	0.3883	1.18	0.4366	1.06	0.3244	1.09	0.3588	38
kindness	246	H  	4.53	0.7255	1.1	0.2733	1.1	0.311	1	0	1.03	0.1622	38
king	247	   	2.46	1.4703	1.29	0.6871	1.12	0.6426	1.67	1.0292	1.12	0.6864	46
kiss	248	H  	4.71	0.5706	1.06	0.305	1.46	0.8735	1.57	0.9587	1.11	0.4981	43
kitten	517	H  	3.61	1.5182	1.09	0.3457	1.3	0.5823	1.18	0.5577	1.21	0.5706	41
knife	596	   	1.2	0.7537	2.86	1.4627	2.23	1.3607	3.54	1.4036	1.97	1.3697	43
knot	836	   	1.29	0.8481	2.06	1.2908	1.43	0.981	1.37	1.0689	1.17	0.5126	46
knowledge	249	H  	3.42	1.4151	1.09	0.3457	1.12	0.3745	1.24	0.5376	1.15	0.4775	41
lake	250	H  	3.8	1.3728	1.14	0.5819	1.2	0.7727	1.63	1.0151	1.23	0.6279	46
lamb	837	H  	3.48	1.4043	1.06	0.5258	1.36	0.8463	1.41	0.8863	1.18	0.6912	44
lamp	838	   	1.85	1.143	1.15	0.4748	1.21	0.5626	1.12	0.4748	1.15	0.4748	38
lantern	839	   	1.97	1.3313	1.17	0.414	1.23	0.5626	1.4	0.8929	1.17	0.4748	38
laughter	251	H  	4.71	0.7839	1.11	0.4335	1.12	0.5145	1.2	0.593	1.06	0.3267	46
lavish	840	H  	3.76	1.2618	1.24	0.5035	1.31	0.5801	1.07	0.2837	1.25	0.7562	35
lawn	841	   	2.29	1.6435	1.31	0.9483	1.09	0.6877	1.2	0.7589	1.23	0.7661	43
lawsuit	842	neg*	1.23	0.7195	3.73	1.1398	2.93	1.1825	3.37	1.2148	2.83	1.3671	35
lazy	843	   	1.27	0.7225	1.67	1.2287	1.82	0.9976	1.24	0.6717	2.21	1.3713	41
leader	844	H  	3.42	1.3901	1.48	1.0064	1.33	0.6538	1.48	0.8925	1.3	0.6445	38
learn	252	H  	3.5	1.0596	2	1.2113	1.6	0.9456	1.73	1.1137	1.13	0.43	35
legend	845	*	2.24	1.3766	1.12	0.5577	1.21	0.7157	1.33	0.7375	1.06	0.3457	41
leisurely	253	H  	3.73	1.1689	1.18	0.528	1.3	0.6538	1.15	0.414	1.21	0.7299	38
leprosy	254	   	1.2	0.5297	2.31	1.1503	3.43	1.3278	3.57	1.3345	2.96	1.3175	43
lesbian	597	   	1.61	1.0425	1.52	1.1539	1.36	0.8089	1.67	1.0931	1.94	1.2815	38
letter	846	   	3.2	1.6511	1.37	1.056	1.7	1.1783	1.67	1.1455	1.2	0.8601	38
liberty	255	H  	4.16	1.0468	1.1	0.462	1.09	0.5401	1.24	0.5757	1.09	0.4428	44
lice	256	D*	1	0	2.03	1.3271	2.15	1.3846	3	1.3396	4.48	0.8478	44
lie	257	   	1.11	0.61	3.97	1.0455	3.54	1.2213	2.77	1.5337	3.4	1.4201	43
life	258	H  	4.67	0.5186	1.83	0.9508	2.2	1.1523	2.17	1.1832	1.43	0.8432	35
lightbulb	566	   	2.14	1.5108	1.03	0.2131	1.09	0.3377	1.06	0.305	1.09	0.3377	43
lighthouse	847	   	2.48	1.4339	1.06	0.3123	1.21	0.5823	1.21	0.5577	1.15	0.458	41
lightning	598	   	1.82	1.3221	2.06	1.3632	1.45	1.0613	2.94	1.4239	1.12	0.7015	44
limber	848	   	2.44	1.5145	1.12	0.4693	1.24	0.564	1.32	0.8165	1.47	0.9286	46
lion	518	   	2	1.0384	1.55	1.0537	1.39	0.7807	2.76	1.4733	1.27	0.6752	38
listless	259	   	1.34	0.7806	1.36	0.7755	1.94	1.1439	1.71	1.099	1.26	0.5727	38
lively	849	H  	4.14	1.1389	1.15	0.3781	1.03	0.1475	1.06	0.206	1.06	0.206	46
locker	850	   	1.8	1.2241	1.53	0.9194	1.43	1.0314	1.17	0.6011	1.43	0.9509	35
loneliness	260	S*	1.15	0.6401	1.82	1.2045	4.09	1.0055	2.54	1.3873	1.36	1.0271	41
lonely	261	S*	1.18	0.6626	2.39	1.0977	4.24	0.9551	3.06	1.1873	1.76	1.096	41
loser	851	   	1.03	0.1622	2.5	1.3612	3.53	1.2823	2.33	1.3441	1.83	1.2771	38
lost	852	   	1.49	1.1423	2.31	1.3833	2.91	1.3742	3.49	1.3202	1.57	1.2014	46
lottery	853	H  	4.47	1.0596	1.8	1.3048	1.7	1.1718	1.6	0.95	1.47	0.7356	35
louse	262	   	1.07	0.3059	2.14	1.031	2.02	0.9124	1.74	0.8591	2.54	1.3839	43
love	263	H  	4.7	0.7413	1.8	1.1903	2.4	1.4793	2.43	1.3566	1.27	0.5983	35
loved	264	H  	4.82	0.4366	1.09	0.2733	1.27	0.7898	1.55	1.1951	1.06	0.3244	38
loyal	265	H  	4.33	1.0414	1.15	0.7649	1.3	0.9543	1.52	1.0672	1.15	0.6182	44
lucky	266	H  	4.54	0.7608	1.2	0.4502	1.17	0.6109	1.2	0.5003	1.14	0.3244	43
lump	854	   	1.21	0.5816	1.85	1.2615	2.7	1.4511	2.73	1.3969	2.64	1.4207	44
luscious	267	H  	3.63	1.2926	1.2	0.4946	1.23	0.5123	1.37	0.6538	1.33	0.6538	38
lust	519	H  	3.43	1.3901	1.43	0.7215	1.7	1.0246	1.87	1.1591	1.57	1.106	38
luxury	268	H  	4.24	1.1427	1.21	0.6851	1.21	0.6011	1.18	0.6087	1.21	0.542	38
machine	855	   	1.73	1.1328	1.39	1.0985	1.15	0.8337	1.85	1.2665	1.27	1	44
mad	856	A  	1.17	0.5776	4.03	1.0176	2.93	1.3653	3	1.5413	1.83	1.2198	38
madman	857	   	1.2	0.6087	3.03	1.4918	2.43	1.4003	3.87	1.3661	2.5	1.4352	38
maggot	269	D  	1.15	0.6646	2.36	1.5096	1.82	1.206	3.21	1.6791	4.58	0.9223	38
magical	858	H  	3.97	1.0601	1.2	0.4366	1.27	0.622	1.5	0.7965	1.21	0.7178	38
mail	859	H  	3.89	1.3489	1.23	0.7661	1.17	0.7966	1.23	0.8458	1.09	0.2578	43
malaria	860	   	1	0	2.55	1.499	3.95	1.0889	4.13	1.1221	3.64	1.4594	35
malice	270	   	1.26	0.5579	3.56	1.1791	2.81	1.2178	2.82	1.3045	2.25	1.2763	38
man	537	H*	4.4	1.0939	2.5	1.3584	2.43	1.3189	2.2	1.1317	2.1	1.2945	35
mangle	861	   	1.47	1.0336	2.73	1.1622	2.56	1.2188	3.03	1.3172	2.57	1.4942	35
maniac	862	   	1.4	0.9103	3.07	1.3366	2.37	1.308	3.83	1.0706	2.8	1.5063	35
manner	863	   	2.52	1.4699	1.33	0.8996	1.27	0.7499	1.33	0.8463	1.3	0.6801	44
mantel	864	   	1.5	0.8946	1.03	0.5429	1.03	0.3994	1.03	0.3742	1.03	0.458	41
manure	865	D*	1.23	0.627	1.24	0.5137	1.24	0.5579	1.44	0.7503	3.48	1.3983	43
market	866	   	2.27	1.2826	1.33	0.6168	1.33	0.7283	1.33	0.8055	1.27	0.6334	41
massacre	867	neg	1.03	0.1622	4.06	1.1377	4.12	1.1746	4.06	1.3653	3.73	1.3736	38
masterful	271	H  	3	1.2547	1.47	0.7067	1.19	0.7415	1.28	0.6911	1.25	0.7332	41
masturbate	599	   	2.51	1.4399	1.4	1.0272	1.43	1.0034	1.26	0.695	2.06	1.2689	46
material	868	   	2.12	1.3334	1.55	0.7785	1.42	0.7738	1.24	0.687	1.61	1.0718	41
measles	272	   	1.12	0.5086	2.2	1.3	2.9	1.2815	3.13	1.4665	3.12	1.6604	38
medicine	869	   	3.07	1.448	1.5	1.1089	1.9	1.2069	2.1	1.2475	1.67	0.9482	38
meek	273	   	1.71	1.0501	1.42	0.7281	2.23	1.1284	2.09	1.1943	1.46	0.8825	41
melody	870	H  	4.23	0.9185	1.43	1.0939	1.6	1.2071	1.23	0.6572	1.27	0.6897	35
memories	871	H*	4.33	1.0537	1.64	1.2554	2.45	1.4072	1.45	1.0301	1.45	1.1563	38
memory	274	   	3.54	1.3861	1.91	1.1943	2.46	1.4536	1.94	1.242	1.51	0.9077	43
menace	275	   	1.19	0.5461	3.15	1.2456	1.87	1.1888	1.96	1.3054	2.21	1.3447	38
merry	872	H  	4.51	0.7938	1.09	0.3377	1.11	0.3909	1.06	0.2131	1.09	0.3377	43
messy	873	   	1.47	0.8523	2.34	1.3152	1.66	0.8811	1.29	0.4799	2.86	1.413	43
metal	874	   	1.57	0.9512	1.37	0.7548	1.5	1.1318	1.67	1.2104	1.2	0.6752	38
method	875	   	1.52	1.0024	1.24	0.8197	1.21	0.8138	1.39	0.9759	1.18	0.7036	41
mighty	276	*	2.8	1.4431	1.33	0.7898	1.2	0.4946	1.6	1.0425	1.2	0.5123	38
mildew	277	D*	1.06	0.3123	1.45	0.9772	1.36	1.0024	2.09	1.3872	3.73	1.4121	41
milk	876	   	2.15	1.3512	1.24	0.6334	1.21	0.6798	1.21	0.6129	1.73	1.1186	41
millionaire	278	H  	3.85	1.5085	1.12	0.4951	1.24	0.5823	1.15	0.5577	1.36	0.8958	41
mind	877	   	3.03	1.5781	1.76	1.1159	1.97	1.244	2.06	1.2688	1.64	1.0729	41
miracle	279	H  	4.68	0.6323	1.15	0.5097	1.24	0.8249	1.36	0.7824	1.09	0.3457	41
mischief	878	   	2.03	1.2948	1.94	0.9956	1.6	0.9605	2.26	1.2897	1.89	1.1305	43
misery	879	S  	1.06	0.2949	3.31	1.5772	4.43	0.8341	3.23	1.5543	2.46	1.5727	46
mistake	880	   	1.15	0.5566	2.48	1.0927	2.39	1.1423	2.36	1.3806	1.58	1.0436	41
mobility	881	H*	3.37	1.4506	1.47	0.8869	1.37	0.7311	1.67	1.1	1.2	0.5681	35
modest	280	H*	2.64	1.2438	1.52	0.7419	1.45	0.7069	1.55	0.9217	1.33	0.7069	41
mold	882	D*	1.11	0.61	1.66	1.0534	1.2	0.6208	1.63	0.9731	3.77	1.6142	43
moment	281	H*	2.85	1.2304	1.35	1.0015	1.47	1.0415	1.4	0.9476	1.22	0.5617	38
money	282	H  	4.4	0.8321	2.13	1.1825	2	1.1617	2.3	1.1398	2.1	1.4349	35
month	283	   	1.93	1.2116	1.37	0.6939	1.4	0.7857	1.5	0.8233	1.27	0.6641	38
moody	883	   	1.43	1.0467	3	1.1968	2.77	1.3027	2.23	1.3529	1.94	1.2016	46
moral	884	H*	3.33	1.2371	1.67	1.1131	1.42	0.9513	1.3	0.8978	1.45	0.8971	41
morbid	284	   	1.15	0.7588	2.32	1.1832	3.23	0.9809	2.91	1.2031	3.51	1.3037	41
morgue	285	   	1.03	0.1622	2.24	1.5229	3.9	1.2637	3.9	1.4174	3.34	1.575	38
mosquito	885	   	1.24	0.8138	2.61	1.425	1.73	1.0459	2.55	1.3224	3	1.5484	41
mother	286	H  	4.56	0.7926	1.85	1.2837	1.63	1.2332	1.41	1.0558	1.28	0.8193	38
mountain	287	   	2.83	1.3571	1.12	0.6048	1.13	0.5528	2.09	1.2497	1.09	0.4621	44
movie	288	H  	4.24	1.1057	1.67	1.2442	2.26	1.3565	1.97	1.3876	1.61	1.2346	44
mucus	886	D  	1.14	0.7186	1.2	0.7263	1.23	0.9242	1.46	1.242	4.26	1.0761	46
muddy	887	   	1.73	1.2312	2.03	1.1882	1.57	0.7811	1.4	0.7253	2.7	1.2623	35
muffin	888	H  	3.7	1.2967	1.27	0.622	1.3	0.6339	1.27	0.6752	1.27	0.7235	38
murderer	289	neg	1.1	0.5071	4.4	0.9185	4.33	0.942	4.79	0.6444	4.47	1.1212	35
muscular	290	*	3.21	1.4073	1.76	1.0199	1.09	0.5537	2.03	1.1693	1.79	1.0754	44
museum	889	   	1.97	1.2386	1.24	0.6339	1.33	0.7081	1.18	0.5123	1.09	0.414	38
mushroom	567	   	1.47	0.9223	1.33	0.6445	1.37	0.6939	1.87	1.1551	2.77	1.5723	38
music	291	H  	4.52	0.9246	1.48	1.2445	1.64	1.3642	1.18	0.873	1	0.7036	41
mutation	890	   	1.11	0.3909	2.11	1.3423	2.34	1.486	2.51	1.5075	2.71	1.5315	43
mutilate	292	*	1.15	0.7036	2.91	1.6037	2.88	1.4906	3.3	1.6204	3.7	1.6601	41
mystic	891	   	2.49	1.4713	1.29	0.8606	1.31	0.8558	1.63	0.9995	1.14	0.515	46
naked	892	*	3.03	1.4654	1.11	0.3244	1.43	0.8811	1.91	1.2438	1.63	1.0359	43
name	893	   	2.45	1.5264	1.27	0.8199	1.24	0.8337	1.24	0.6599	1.21	0.565	44
narcotic	894	   	1.73	1.2001	2.83	1.413	3.1	1.2556	3.1	1.4906	3.47	1.6156	35
nasty	895	D*	1.27	0.8198	2.45	1.2678	2.09	1.3557	2.3	1.4172	4.12	1.1713	38
natural	896	H  	3.3	1.2625	1.36	0.6984	1.3	0.6168	1.42	0.8674	1.36	0.6932	41
nature	293	H  	3.51	1.545	1.26	0.6031	1.31	0.7989	1.54	1.0236	1.54	1.0696	46
nectar	294	   	2.72	1.4241	1.29	0.8988	1.27	0.7467	1.35	0.8988	1.26	0.8629	38
needle	897	   	1.4	0.8117	1.63	1.0596	1.5	0.95	2.53	1.3584	1.83	1.2788	35
neglect	898	neg	1.23	0.7639	3.57	1.2562	3.74	1.3131	2.97	1.581	2.97	1.5918	43
nervous	899	*	1.24	0.7424	1.79	1.0833	2.08	1.4643	3.58	1.3267	1.35	0.7888	46
neurotic	900	   	1.17	0.4741	2.36	1.3111	2.46	1.3394	2.88	1.3857	2.18	1.3577	38
news	901	   	2.09	1.299	2.14	1.1641	2.64	1.3581	2.5	1.4237	2.26	1.392	46
nice	902	H  	4.7	0.8183	1	0.3339	1.09	0.4621	1.12	0.4925	1.06	0.4925	44
nightmare	295	F*	1.03	0.1562	2.73	1.436	2.97	1.3872	4.3	0.6932	2.24	1.5238	41
nipple	903	*	2.7	1.3671	1.33	0.7702	1.37	0.8812	1.33	0.9509	1.7	0.95	35
noisy	904	A  	1.52	0.8297	3.06	1.2837	1.48	1.0301	1.52	1.0587	1.64	1.0577	38
nonchalant	296	   	1.86	1.0914	1.3	0.7313	1.34	0.6863	1.27	0.6368	1.24	0.682	41
nonsense	905	   	1.53	0.9792	1.8	0.9733	1.47	0.7505	1.33	0.6939	1.37	0.7136	38
noose	906	neg*	1.3	0.5543	2.82	1.3261	3.32	1.2441	3.79	1.1407	3.06	1.3304	38
nourish	907	H  	3.7	1.2224	1.27	0.901	1.39	1.0613	1.12	0.7947	1.15	0.803	44
nude	520	*	2.39	1.4424	1.12	0.8883	1.15	0.679	1.55	0.9741	1.85	1.1914	41
nuisance	908	   	1.21	0.6987	2.7	1.0907	1.61	0.9635	1.39	0.7063	2.18	1.3208	41
nun	909	   	2.27	1.2203	1.33	0.9233	1.55	1.196	1.36	0.9233	1.12	0.3997	41
nurse	538	   	2.77	1.6259	1.3	0.7141	1.63	0.9482	1.97	1.1377	1.13	0.414	38
nursery	910	H  	3.41	1.4256	1.2	0.6789	1.23	0.5123	1.27	0.8732	1.1	0.4748	38
obesity	911	   	1.09	0.3745	2.27	1.4642	3.09	1.302	2.82	1.3749	3.03	1.4588	41
obey	912	   	2	1.1737	1.94	1.2069	1.64	0.8865	1.79	0.9425	1.55	0.9781	38
obnoxious	913	   	1.27	0.5926	3.21	1.3375	1.55	0.9715	1.45	0.8958	2.52	1.2855	41
obscene	914	   	1.34	0.7411	2.57	1.3431	1.83	1.2113	1.89	1.3713	2.89	1.4279	43
obsession	915	   	2.33	1.2414	2.1	1.0556	1.93	1.0109	2.83	1.3009	2.37	1.2912	35
ocean	297	H  	4.33	1.0347	1.23	0.6108	1.27	0.5606	2.3	1.3671	1.27	0.942	35
odd	916	   	1.64	0.8732	1.55	0.8302	1.3	0.5891	1.67	0.8517	1.36	0.5413	38
offend	917	   	1.09	0.3004	3.67	1.1498	3.21	1.2406	2.45	1.3343	2.73	1.4659	41
office	568	   	1.97	0.9589	1.91	1.2237	1.76	0.9538	1.7	0.8807	1.61	0.9715	41
opinion	298	   	2.54	1.3997	1.74	1.1666	1.31	0.686	1.43	1.0083	1.29	0.6375	43
optimism	918	H  	4.51	0.8549	1.06	0.305	1.14	0.4477	1.23	0.7012	1.06	0.305	43
option	919	H*	3.23	1.5672	1.29	0.7268	1.23	0.5145	1.57	1.0977	1.03	0.1525	43
orchestra	299	H*	3.39	1.4706	1.24	0.8337	1.39	1	1.06	0.321	1.09	0.5258	44
orgasm	920	H  	4.6	0.8075	1.07	0.4038	1.13	0.4038	1.3	0.8023	1.2	0.4728	35
outdoors	521	H  	4.12	1.2463	1.06	0.4925	1.12	0.4795	1.76	1.0535	1.36	0.8975	44
outrage	921	A*	1.19	0.578	4.17	0.913	2.42	1.407	2.88	1.4515	2.11	1.4855	38
outstanding	922	H  	3.97	1.3302	1.09	0.3004	1.12	0.3745	1.15	0.4775	1.12	0.4362	41
overcast	923	S*	1.21	0.475	1.94	1.1402	3.09	1.1082	1.67	1.1004	2	1.2639	41
overwhelmed	300	   	1.39	0.8233	2.64	1.3494	2.67	1.2757	2.82	1.1894	1.76	1.0973	38
owl	522	   	1.62	1.258	1.21	0.7425	1.56	1.1054	1.52	1.1171	1.09	0.4335	46
pain	301	ASF*	1	0	3.37	1.2389	3.63	1.229	3.74	1.1092	2.09	1.2113	43
paint	924	   	2.5	1.5422	1.23	0.7556	1.21	0.8119	1.18	0.6958	1.17	0.6294	46
palace	302	H  	4.2	1.2448	1.3	0.6835	1.3	0.6674	1.27	0.7504	1.17	0.43	35
pamphlet	925	   	1.37	0.599	1.26	0.4659	1.17	0.4671	1.17	0.4671	1.2	0.5314	43
pancakes	523	H  	4.17	1.2312	1.13	0.4528	1.3	0.78	1.13	0.4038	1.3	0.7886	35
panic	601	F*	1.15	0.6182	2.09	1.3445	2.64	1.4157	4.21	1.0018	1.61	0.9423	44
paper	303	   	1.64	1.0187	1.58	1.0012	1.33	0.7619	1.45	0.8653	1.52	0.9246	41
paradise	304	H  	4.7	0.6339	1.13	0.3883	1.17	0.414	1.1	0.4867	1.03	0.1622	38
paralysis	926	   	1.1	0.4332	2.38	1.3845	3.59	1.2026	3.25	1.2925	1.69	1.344	46
part	927	   	1.54	1.2022	1.26	0.5706	1.51	1.0088	1.4	0.8792	1.11	0.7508	43
party	305	H  	4.52	0.7433	1	0.5566	1	0.5566	1.24	0.6798	1.12	0.7342	41
passage	928	   	2	1.2549	1.3	0.6311	1.57	0.95	1.57	0.9167	1.27	0.6456	35
passion	306	H  	4.33	0.7062	1.67	1.2494	1.3	0.9772	1.55	1.0354	1.36	0.9759	41
pasta	524	H  	3.33	1.3975	1.17	0.6921	1.17	0.5137	1.17	0.4937	1.3	0.7581	35
patent	307	   	1.62	1.255	1.52	1.0559	1.62	1.0806	1.73	1.1907	1.38	0.8341	38
patient	929	   	2.33	1.2221	1.82	1.0574	2.18	1.2901	2	1.3829	1.42	0.913	38
patriot	930	H*	3.27	1.3135	1.36	1	1.36	0.987	1.61	1.0371	1.15	0.9934	44
peace	308	H  	4.7	0.6993	1.24	0.7824	1.33	0.833	1.48	0.8971	1.18	0.4417	41
penalty	931	   	1.39	1.0592	2.58	1.3122	1.97	1.1137	2.03	1.436	1.3	0.9253	41
pencil	309	   	1.39	0.9482	1.21	0.7862	1.21	0.6919	1.18	0.7176	1.21	0.7036	38
penis	932	   	3	1.3566	1.45	0.8055	1.33	0.7886	2.03	1.0604	2.12	0.9846	41
penthouse	933	*	2.94	1.5796	1.51	0.8517	1.43	0.7567	1.43	0.7833	2.14	1.4509	43
people	525	H*	3.45	1.2855	1.85	1.3593	1.88	1.3784	2.12	1.3266	1.55	1.2371	41
perfection	310	H  	3.61	1.3098	1.39	0.9223	1.39	0.8913	1.7	1.0944	1.33	0.6334	38
perfume	934	H  	3.67	1.3578	1.15	0.4946	1.21	0.5897	1.09	0.414	1.39	0.7604	38
person	311	   	3.3	1.2425	2.15	1.3421	2.18	1.2736	2.27	1.2037	2.03	1.2528	41
pervert	312	D*	1	0.4423	3.46	1.5875	2.94	1.6413	3.49	1.545	4.66	0.9086	46
pest	313	   	1.09	0.2637	3.55	1.1412	1.91	1.2021	2.15	1.3489	2.64	1.5238	41
pet	935	H  	4.52	1.033	1.36	0.8161	1.73	0.8161	1.27	0.727	1.21	0.4458	44
phase	936	   	2.09	1.4529	1.64	1.2888	1.73	1.2921	1.64	1.2562	1.55	1.196	41
pie	314	H  	3.97	1.3144	1.27	0.7702	1.27	0.547	1.27	0.6897	1.33	0.6391	35
pig	937	   	2.3	1.4678	1.39	0.913	1.39	0.9704	1.42	0.8829	2.24	1.398	38
pillow	315	H  	3.39	1.502	1.09	0.3457	1.21	0.5577	1.09	0.3457	1.06	0.3123	41
pinch	938	   	1.23	0.6087	2.7	1.2337	1.77	0.9839	2.03	1.2069	1.43	0.7548	38
pistol	939	   	1.1	0.4038	3.23	1.4337	3.2	1.4011	4.03	1.1882	2.5	1.4593	35
pity	940	   	1.13	0.3883	1.87	1.1954	3	1.2826	2	1.3515	1.77	1.1974	38
pizza	526	H  	3.53	1.4473	1.17	0.7862	1.07	0.6789	1.3	0.7235	1.7	1.2715	38
plain	941	   	1.45	0.8302	1.42	0.8865	1.73	0.9497	1.42	0.8263	1.45	0.8865	38
plane	539	   	2.67	1.3316	1.27	0.9521	1.58	1.0771	3.06	1.1926	1.15	0.7649	44
plant	316	H*	2.61	1.3786	1.21	0.5897	1.21	0.542	1.27	0.7016	1.15	0.414	38
pleasure	317	H  	4.91	0.2908	1.03	0.2107	1.06	0.2107	1.03	0.5537	1.09	0.4621	44
poetry	318	   	3.21	1.3578	1.48	1.056	2.03	1.3313	1.48	1.0301	1.21	0.6087	38
poison	319	   	1	0	2.8	1.4794	2.83	1.5587	3.93	0.9149	3.33	1.3922	38
politeness	320	H  	3.67	1.3398	1.12	0.4362	1.15	0.458	1.3	0.6626	1.06	0.2181	41
pollute	321	neg*	1.07	0.3245	3.13	1.2934	3.17	1.2256	2.83	1.4034	3.87	1.2879	38
poster	942	   	2.37	1.3899	1.4	0.6197	1.4	0.7136	1.33	0.5543	1.47	0.8517	38
poverty	322	   	1	0.1622	2.67	1.3002	3.93	1.012	3.33	1.3184	2.47	1.3664	38
power	323	   	3.54	1.3328	1.63	0.9838	1.46	0.7973	2.34	1.1812	1.4	0.7959	43
powerful	324	*	3.24	1.32	1.7	0.9607	1.38	0.7871	2.42	1.199	1.28	0.7058	38
prairie	325	   	2.69	1.5108	1.2	0.7502	1.49	0.9129	1.43	1.0272	1.23	0.7434	46
present	943	H  	4.03	1.3079	1.34	0.7263	1.46	0.774	1.51	0.8625	1.14	0.4699	46
pressure	944	   	1.36	0.8004	2.33	1.3506	2.06	1.2252	2.85	1.3205	1.45	0.9479	44
prestige	945	H  	3.21	1.3129	1.29	0.5896	1.13	0.5214	1.5	0.9137	1.28	0.6496	41
pretty	326	H  	4.52	0.6985	1.24	0.8975	1.55	1.1042	1.27	1.0672	1.18	0.9721	44
prick	946	   	1.09	0.2578	3.43	1.4333	2.06	1.1794	2.03	1.3965	2.74	1.5315	43
pride	327	H  	4.06	1.2527	1.4	1.198	1.26	1.0987	1.09	0.8652	1.29	0.8491	43
priest	328	   	2.69	1.6465	1.4	0.8767	1.31	0.6804	1.4	0.8536	1.43	1.0072	43
prison	329	neg	1	0.3015	3.24	1.3694	3.15	1.44	3.97	1.0653	3.24	1.513	44
privacy	330	H*	3.4	1.1704	1.67	1.0025	1.43	0.78	1.6	1.0025	1.13	0.4038	35
profit	331	H  	4	1.1137	1.48	0.8396	1.33	0.687	1.48	0.8055	1.27	0.5706	41
progress	947	H  	3.63	1.1891	1.13	0.3883	1.17	0.3695	1.37	0.7929	1.13	0.5088	38
promotion	332	H  	4.52	1.023	1.06	0.5377	1	0.4734	1.45	1.2224	1.06	0.4925	44
protected	333	H  	4.23	1.2313	1.09	0.7091	1.29	1.0033	1.26	0.9793	1.03	0.1525	43
proud	334	*	2.91	1.701	1.64	1.0813	1.36	0.7807	1.76	1.0724	1.33	0.7679	38
pungent	948	   	1.38	0.7743	1.52	0.9365	1.38	0.8286	1.53	0.9916	2.41	1.5161	38
punishment	335	   	1.06	0.305	3.4	1.1827	3	1.0597	3	1.2815	1.97	1.2798	43
puppy	336	H  	4.8	0.5137	1.17	0.5137	1.3	0.6108	1.53	1.0387	1.27	0.8432	35
pus	602	D  	1.03	0.1525	1.49	0.9077	1.37	0.7283	1.66	1.0471	4.29	1.3599	43
putrid	337	   	1.3	0.7675	1.77	0.9939	1.82	1.0789	1.94	1.1044	3.46	1.4838	44
python	949	   	1.2	0.8398	1.6	1.1166	1.46	1.2906	3.63	1.2626	2.49	1.5857	46
quality	950	H  	3.73	1.349	1.15	0.8832	1.21	0.8235	1.24	0.8174	1.12	0.7555	44
quarrel	338	   	1.03	0.3339	3.91	1.3358	2.42	1.4379	2.45	1.4518	1.64	0.9479	44
quart	951	   	1.28	0.7923	1.06	0.7148	1.12	0.8723	1.06	0.7587	1.06	0.6914	41
queen	952	H*	3.36	1.2798	1.27	1.05	1.06	0.7148	1.48	1.0927	1.06	0.822	41
quick	953	   	2.47	1.4005	1.3	0.5725	1.37	0.6835	1.43	0.8774	1.07	0.3381	35
quiet	339	   	2.32	1.3335	1.35	0.803	2.11	1.2224	1.76	1.3493	1.21	0.6185	46
rabbit	527	H  	3.15	1.4918	1.09	0.5109	1.21	0.7342	1.33	0.8937	1.12	0.6008	41
rabies	340	*	1	0	2.57	1.5496	3.13	1.385	4	1.3141	3.9	1.3786	38
radiant	954	H  	4.34	0.9077	1.03	0.1525	1.09	0.3377	1.06	0.305	1.03	0.1525	43
radiator	955	   	1.47	1.1825	1.43	0.8859	1.23	0.5983	1.33	0.6945	1.3	0.6674	35
radio	341	H  	3.24	1.5174	1.61	1.0899	1.48	1.2092	1.09	0.3997	1.36	0.7563	41
rage	342	*	1.03	0.1525	3.91	1.2983	2.8	1.468	3.37	1.5434	2.46	1.5297	43
rain	569	   	2.57	1.5159	1.91	1.1714	2.31	1.1827	1.31	0.6597	1.66	1.1552	43
rainbow	343	H  	4.24	1.1054	1.06	0.2181	1.45	0.9939	1.03	0.1562	1.12	0.3997	41
rancid	956	D  	1.14	0.4916	2.06	1.2409	1.68	1.0667	2.1	1.3238	3.76	1.4396	38
rape	344	neg*	1	0	4.71	0.8319	4.54	0.8792	4.69	0.7012	4.8	0.5878	43
rat	345	   	1.2	0.8192	1.69	1.0289	1.44	0.8785	3	1.4841	3.54	1.5771	43
rattle	346	   	2.2	1.4508	1.69	0.9965	1.45	0.8114	2.27	1.3913	1.41	0.7626	35
razor	957	   	1.15	0.5577	1.85	1.1661	1.64	0.9939	2.79	1.327	1.45	0.9476	41
red	570	   	2.4	1.518	2.5	1.5553	1.53	0.8913	2.27	1.3187	1.47	0.8233	38
refreshment	347	H  	3.67	1.3736	1.18	0.5939	1.33	0.8977	1.27	0.8522	1.36	0.8089	38
regretful	348	   	1.24	0.7824	3.18	1.2327	3.76	1.1749	2.85	1.2499	2.39	1.3828	41
rejected	349	ASF	1.09	0.4867	3.61	1.1786	3.91	1.0235	3.48	1.3682	2.15	1.3454	38
relaxed	350	H  	4.34	0.9793	1.17	0.5565	1.26	0.6294	1.11	0.3788	1.06	0.3267	46
