word	ANEW #	fem_cat	mean_hap	sd_hap	mean_ang	sd_ang	mean_sad	sd_sad	mean_fear	sd_fear	mean_dis	sd_dis	n
beverage	657	H  	3.3	1.4352	1.24	0.741	1.09	0.3588	1.15	0.5776	1.15	0.5123	38
bird	38	*	2.73	1.5671	1.15	0.4748	1.18	0.4946	1.27	0.6445	1.33	0.6939	38
birthday	39	H  	4.66	0.5526	1.11	0.4855	1.31	0.7142	1.29	0.6123	1.09	0.4335	46
black	543	   	1.19	0.799	2.69	1.498	3.07	1.522	3	1.5845	1.84	1.3911	44
blackmail	40	*	1.03	0.1622	3.83	1.1242	2.53	1.4724	3.47	1.5624	2.53	1.4539	38
bland	658	   	1.31	0.6476	1.36	0.7762	1.67	0.9809	1.21	0.5823	1.73	1.0781	41
blase	41	   	1.54	0.7547	1.58	0.794	1.63	0.8526	1.54	0.8983	1.43	0.6576	35
blasphemy	659	   	1.3	1.0895	3.02	1.3627	2.11	1.1864	2	1.0837	2.22	1.2472	41
bless	42	H  	4.3	0.9939	1.03	0.1622	1.06	0.3244	1	0	1.06	0.3588	38
blind	43	ASF*	1.21	0.5433	2.52	1.1629	3.48	1.0752	3.09	1.3925	1.27	0.7619	41
bliss	660	H  	4.64	0.8724	1.1	0.3735	1.07	0.2837	1.17	0.55	1.03	0.169	35
blister	661	   	1.17	0.95	2.47	1.2899	2.5	1.3272	2.27	1.3609	3.53	1.5568	35
blond	662	*	2.57	1.6166	1.29	0.8319	1.06	0.7321	1.11	0.4477	1.49	1.0534	43
bloody	584	neg	1	0	2.9	1.12	3.88	1.18	3.87	1.07	3.81	1.2	31
blossom	44	H  	4.29	0.9034	1	0	1.26	0.6384	1.03	0.2131	1.09	0.4575	43
blubber	663	   	1.63	1.1137	1.8	1.1265	2.3	1.4378	1.93	1.1917	3	1.4713	35
blue	544	   	2.45	1.4738	1.45	0.8024	2.88	1.4588	1.55	0.9233	1.3	0.6237	41
board	664	   	1.36	0.6099	1.42	0.8937	1.21	0.525	1.27	0.708	1.18	0.4417	41
body	665	*	2.66	1.4853	1.74	1.0814	1.8	1.1742	1.8	1.1737	2.09	1.3497	43
bold	45	   	2.42	1.3224	1.73	0.9285	1.36	0.6617	1.67	0.9338	1.36	0.8024	41
bomb	46	*	1.15	0.5537	3.94	1.2831	3.48	1.4379	4.3	1.0985	3.03	1.6119	44
book	47	   	3.21	1.2352	1.88	1.2347	2.03	1.276	2.03	1.0678	1.91	1.1514	41
bored	48	   	1.2	0.6521	1.77	1.2901	2	1.1393	1.34	1.1827	1.71	1.1407	43
bottle	666	   	1.76	1.243	1.52	1.0927	1.61	1.2297	1.61	1.0459	1.55	0.9772	41
bouquet	667	H  	4.31	1.0311	1	0	1.51	0.8556	1.06	0.2131	1	0	43
bowl	49	   	1.88	1.3512	1.18	0.5433	1.12	0.458	1.15	0.5566	1.15	0.5728	41
boxer	585	   	1.69	1.2287	1.94	1.2381	1.46	0.8341	2.2	1.3443	1.6	1.0451	46
boy	50	H*	3.48	1.3034	1.82	1.3819	1.82	1.3819	1.76	1.3334	1.73	1.2654	41
brave	668	H  	3.53	1.1554	1.23	0.542	1.27	0.76	1.67	1.206	1.07	0.3588	38
breast	51	*	2.48	1.3723	1.03	0.5683	1.03	0.7015	1.24	0.6742	1.36	0.9989	44
breeze	669	H  	3.6	1.3065	1.29	0.886	1.31	0.7502	1.29	0.801	1.11	0.5898	46
bride	670	H  	4.48	1.0587	1.21	0.622	1.7	1.0931	1.58	0.8785	1.12	0.3883	38
bright	671	H  	4.05	1.2622	1.21	0.6427	1.09	0.4001	1.17	0.5421	1	0.2949	46
broken	672	   	1.21	0.5123	2.94	1.385	3.33	1.1455	2.42	1.4094	1.85	1.1514	38
brother	52	H  	3.48	1.374	2.12	1.2692	1.97	1.2208	1.55	0.9741	1.55	1.0277	41
brutal	53	neg*	1	0.603	3.61	1.0692	3.21	1.3617	3.55	1.2085	3	1.4933	44
building	550	   	1.49	1.0977	1.26	0.7268	1.11	0.5003	1.29	0.6375	1.14	0.5999	43
bullet	673	   	1.17	0.5776	3.03	1.4861	2.87	1.4423	3.8	1.3515	2.5	1.603	38
bunny	54	H  	3.85	1.3498	1.18	0.7824	1.42	0.9213	1.3	0.8625	1.18	0.7157	41
burdened	55	   	1.09	0.3004	3.06	1.1391	3.12	1.2802	2.48	1.3252	1.88	1.1598	41
burial	56	S  	1.03	0.4631	2.2	1.4818	4.34	1.1909	2.97	1.6187	1.43	0.9346	46
burn	586	   	1.09	0.6801	2.73	1.3738	2.3	1.4862	3.18	1.3396	2.09	1.44	44
bus	541	   	1.58	0.9994	1.33	1.0024	1.21	0.4951	1.45	0.8293	1.48	0.9772	41
busybody	674	   	1.94	0.9883	1.55	0.9612	1.39	0.8724	1.55	1.1587	1.64	1.3086	44
butter	57	   	2.18	1.2142	1.33	0.7424	1.27	0.6993	1.3	0.7675	1.52	1.003	41
butterfly	58	H  	4.55	0.7299	1	0.4523	1.21	0.9092	1.15	0.7649	1.15	0.5099	44
cabinet	675	   	1.52	0.8958	1.39	0.7441	1.36	0.7388	1.42	0.89	1.18	0.5398	44
cake	59	H  	4.09	1.1873	1.42	1.1858	1.48	1.2625	1.27	0.7342	1.36	0.9939	41
cancer	60	   	1	0	2.82	1.4914	4.36	0.8653	3.82	1.3601	1.64	1.3775	41
candy	61	H  	4.27	0.9893	1.3	0.7679	1.18	0.5626	1.12	0.4946	1.24	0.6851	38
cane	677	   	1.38	0.851	1.59	1.0878	2.41	1.256	1.73	1.1478	1.35	0.9431	46
cannon	678	   	1.39	1.0635	2.06	1.2049	1.73	1.0645	2.7	1.3939	1.42	0.9512	44
capable	62	H  	3.6	1.5122	1.2	0.7896	1.23	0.7726	1.43	0.9599	1.11	0.8523	43
car	551	H  	3.93	1.221	1.7	0.9322	1.67	1.0025	1.93	1.0675	1.37	0.7581	35
carcass	679	   	1.07	0.4035	1.83	1.0227	2.77	1.3039	2.73	1.3937	4.07	1.5114	35
carefree	63	H  	4.13	1.2557	1.07	0.2263	1.13	0.4526	1.4	0.8732	1	0	38
caress	64	H  	4.36	0.7256	1.03	0.1508	1.36	0.6742	1.21	0.5937	1.39	0.7339	44
cash	503	H  	4.2	1.1533	1.54	1.1102	1.63	1.1523	1.74	1.314	1.54	1.1523	43
casino	680	H  	3.03	1.2034	1.77	1.1492	1.73	1.1455	1.73	1.0249	1.63	0.8829	38
cat	504	   	3.06	1.7269	1.45	1.0011	1.3	0.8601	1.82	1.3035	1.94	1.3983	38
