word	ANEW #	male_cat	mean_hap	sd_hap	mean_ang	sd_ang	mean_sad	sd_sad	mean_fear	sd_fear	mean_dis	sd_dis	n
lost	852	   	1.29	0.69	2.58	1.29	2.71	1.19	3.19	1.25	1.74	1.06	31
lottery	853	H  	3.62	1.35	1.62	0.94	1.48	0.87	1.1	0.31	1.45	0.83	29
louse	262	   	1.42	0.9	2.01	1.1	1.67	0.9	1.55	0.91	2.13	1.3	29
love	263	H  	4.69	0.6	1.62	1.01	1.86	1.22	1.59	1.05	1.21	0.49	29
loved	264	H  	4.68	0.55	1.21	0.57	1.29	0.76	1.29	0.66	1.04	0.19	28
loyal	265	H  	3.93	1.17	1.23	0.43	1.3	0.6	1.23	0.57	1.23	0.68	30
lucky	266	H  	3.97	1.09	1.66	1.11	1.38	1.01	1.28	0.84	1.31	0.89	29
lump	854	   	1.23	0.68	1.8	0.96	2.2	1.32	2.43	1.41	2.57	1.38	30
luscious	267	H  	3.14	1.43	1.07	0.26	1.18	0.48	1.14	0.59	1.11	0.42	28
lust	519	H  	3.11	1.34	1.46	0.79	1.36	0.78	1.54	0.74	1.57	0.88	28
luxury	268	H  	3.89	1.2	1.11	0.31	1.07	0.26	1.04	0.19	1.46	1	28
machine	855	   	1.83	1.12	1.73	0.91	1.43	0.9	1.53	0.86	1.23	0.57	30
mad	856	A  	1.14	0.45	3.79	1.17	2.18	1.19	2.24	1.2	1.89	1.26	28
madman	857	   	1	0	3	1.52	2.14	1.21	3.39	1.23	2	1.33	28
maggot	269	D  	1	0	2.21	1.45	1.42	0.99	2.31	1.44	4.47	0.79	28
magical	858	H  	3.57	1.17	1.11	0.31	1.11	0.31	1.32	0.72	1.04	0.19	28
mail	859	H  	3.03	1.32	1.52	1.02	1.45	0.91	1.48	1.02	1.31	0.85	29
malaria	860	   	1.03	0.19	2.11	0.94	3.18	1.17	3.63	1.11	3.03	1.38	29
malice	270	   	1.04	0.19	2.96	1.4	1.96	1.04	2.36	1.37	2.11	1.31	28
man	537	*	2.24	1.38	1.38	0.73	1.24	0.51	1.41	0.82	1.31	0.6	29
mangle	861	   	1.27	0.78	2.64	1.32	2.7	1.19	2.82	1.42	2.61	1.37	29
maniac	862	   	1.31	0.76	2.93	1.33	2.28	1.28	3.38	1.18	2.41	1.05	29
manner	863	   	2.23	1.38	1.47	0.63	1.23	0.57	1.1	0.4	1.3	0.7	30
mantel	864	   	1.52	0.89	1.23	0.56	1.26	0.63	1.16	0.45	1.13	0.43	31
manure	865	*	1.17	0.66	2	1.46	1.34	0.9	1.66	1.01	3.45	1.57	29
market	866	   	2.07	1.08	1.57	0.86	1.47	0.82	1.57	0.94	1.57	0.97	30
massacre	867	neg	1	0	3.57	1.53	3.64	1.42	3.54	1.4	3.21	1.5	28
masterful	271	H  	3.3	1.18	1.43	0.82	1.27	0.69	1.5	0.94	1.23	0.63	30
masturbate	599	   	3	1.32	1.16	0.58	1.32	0.75	1.13	0.5	1.74	1.09	31
material	868	   	1.9	1.12	1.43	0.86	1.47	0.94	1.4	0.77	1.53	0.86	30
measles	272	   	1	0	1.82	1.28	2.57	1.29	2.39	1.26	2.71	1.21	28
medicine	869	   	2.54	1.14	1.14	0.36	1.39	0.69	1.86	1.01	1.36	0.73	28
meek	273	   	1.63	1.1	1.48	0.77	2.2	1.21	1.89	1.24	1.38	0.89	30
melody	870	H  	3.9	1.21	1.17	0.66	1.28	0.84	1.14	0.58	1.14	0.44	29
memories	871	*	3.82	1.19	2.32	1.44	2.86	1.24	2	1.39	1.64	1.19	28
memory	274	   	3.1	1.45	2.07	1.33	2.41	1.3	1.9	1.32	1.9	1.32	29
menace	275	   	1.18	0.77	2.5	1.32	1.79	1.03	2.14	1.51	2.11	1.26	28
merry	872	H  	4.07	1.13	1.07	0.26	1.17	0.47	1.14	0.74	1.1	0.31	29
messy	873	   	1.52	1.02	2.72	1.33	1.52	1.02	1.21	0.77	2.79	1.26	29
metal	874	   	1.5	0.96	1.36	0.78	1.07	0.38	1.21	0.63	1.04	0.19	28
method	875	   	1.61	1.12	1.19	0.54	1.19	0.54	1.1	0.4	1.29	0.69	31
mighty	276	H*	3.04	1.35	1.5	0.92	1.25	0.8	1.68	1.09	1.14	0.76	28
mildew	277	*	1.1	0.4	1.68	1.08	1.52	0.89	1.81	1.01	2.94	1.31	31
milk	876	   	2.6	1.45	1.13	0.57	1.2	0.66	1.07	0.37	1.4	0.77	30
millionaire	278	H  	3.77	1.45	1.39	0.76	1.52	0.93	1.52	0.93	1.32	0.6	31
mind	877	   	2.83	1.42	2.03	1.3	1.93	1.36	2.17	1.44	1.8	1.32	30
miracle	279	H  	4.43	0.93	1.13	0.43	1.17	0.46	1.17	0.53	1.2	0.55	30
mischief	878	   	2.11	1.26	1.94	1.04	1.51	0.91	2.01	1.1	1.73	1.1	29
misery	879	S  	1.06	0.36	2.52	1.43	4.16	1.19	2.61	1.48	2.26	1.46	31
mistake	880	   	1.29	0.59	2.52	1.09	2.26	1.21	2.45	1.06	1.77	1.02	31
mobility	881	*	3	1.56	1.28	0.7	1.45	0.91	1.48	0.91	1.52	1.09	29
modest	280	*	2.3	1.34	1.4	0.81	1.2	0.48	1.23	0.5	1.33	0.66	30
mold	882	*	1.17	0.54	1.83	1.2	1.45	0.91	1.45	0.83	3.24	1.43	29
moment	281	*	2.18	1.33	1.5	1	1.43	0.96	1.46	0.96	1.29	0.9	28
money	282	H  	4.14	1.06	2	1.22	1.76	1.09	1.76	1.24	2.07	1.33	29
month	283	   	1.49	0.92	1.04	0.19	1	0	1.07	0.38	1.04	0.19	28
moody	883	   	1.29	0.59	2.84	1.13	2.45	1.06	1.68	1.08	1.55	0.93	31
moral	884	*	2.97	1.5	1.6	0.86	1.47	0.86	1.4	0.77	1.4	0.89	30
morbid	284	   	1.17	0.46	2.17	1.12	3.09	1.3	2.96	1.4	2.82	1.32	30
morgue	285	   	1	0	1.96	1.4	3.54	1.4	3.14	1.41	3	1.41	28
mosquito	885	   	1.33	0.92	3.1	1.67	1.53	1.07	1.93	1.28	3	1.53	30
mother	286	H  	4.29	1.01	1.32	0.94	1.39	0.88	1.25	0.8	1.07	0.38	28
mountain	287	   	2.93	1.36	1.43	0.86	1.33	0.76	1.9	0.92	1.23	0.5	30
movie	288	H  	3.57	1.3	1.6	0.86	1.87	0.97	1.73	1.01	1.63	0.89	30
mucus	886	D  	1.1	0.3	1.34	0.87	1.26	0.77	1.54	1.02	3.86	1.15	31
muddy	887	   	2.14	1.25	1.66	0.9	1.55	0.78	1.59	1.02	2.45	1.48	29
muffin	888	H  	3.43	1.35	1	0	1.04	0.19	1	0	1	0	28
murderer	289	neg	1.14	0.58	4.21	1.08	3.62	1.32	3.97	1.21	4.03	1.21	29
muscular	290	H*	3.07	1.46	1.37	0.67	1.33	0.76	1.53	0.82	1.6	0.89	30
museum	889	   	2.43	1.37	1.39	0.92	1.39	0.79	1.32	0.86	1.21	0.69	28
mushroom	567	   	2.36	1.73	1.04	0.19	1.14	0.45	1.36	0.73	1.43	0.92	28
music	291	H  	4	1.13	1.68	1.01	1.77	1.06	1.35	0.88	1.29	0.82	31
mutation	890	   	1.28	0.53	1.9	1.18	2.38	1.29	2.55	1.24	2.79	1.45	29
mutilate	292	neg*	1.16	0.45	2.97	1.35	2.68	1.14	2.77	1.26	3.13	1.57	31
mystic	891	   	2.52	1.28	1.21	0.48	1.55	0.8	1.65	0.87	1.21	0.54	31
naked	892	H*	3.52	1.55	1.28	0.75	1.21	0.77	1.79	1.05	1.48	0.95	29
name	893	   	2.4	1.33	1.53	0.9	1.47	0.86	1.4	0.81	1.3	0.6	30
narcotic	894	   	1.76	1.09	2.24	1.27	2.48	1.5	2.52	1.33	2.66	1.4	29
nasty	895	*	1.18	0.67	2.21	1.45	1.75	1.14	1.89	1.2	3.64	1.5	28
natural	896	H  	3.03	1.43	1.4	0.67	1.5	0.94	1.37	0.72	1.33	0.71	30
nature	293	H  	3.55	1.43	1.16	0.45	1.29	0.69	1.16	0.37	1.29	0.64	31
nectar	294	   	2.47	1.43	1.18	0.61	1.08	0.26	1.15	0.59	1	0	28
needle	897	   	1.48	0.95	1.72	0.92	1.62	1.12	2.52	1.38	1.72	1.07	29
neglect	898	neg	1.1	0.56	3.24	1.35	3.14	1.19	2.48	1.33	3.03	1.45	29
nervous	899	F*	1.35	0.66	1.84	1	1.84	0.93	3.32	1.28	1.61	0.95	31
neurotic	900	   	1.21	0.79	1.96	1.29	1.61	0.99	1.86	1.27	1.57	1.2	28
news	901	   	2.13	1.28	2.19	1.19	2.26	1.18	2.03	1.08	1.94	1.09	31
nice	902	H  	3.83	1.32	1.17	0.53	1.2	0.55	1.17	0.38	1.13	0.51	30
nightmare	295	*	1.1	0.31	2.27	1.28	2.27	1.31	3.57	1.3	1.87	1.14	30
nipple	903	H*	3.38	1.35	1.03	0.19	1.07	0.26	1.03	0.19	1.38	0.73	29
noisy	904	A  	1.29	0.71	2.89	0.88	1.36	0.78	1.32	0.77	1.32	0.67	28
nonchalant	296	   	1.81	1.08	1.39	0.67	1.23	0.5	1.19	0.54	1.65	1.08	31
nonsense	905	   	1.43	1.17	1.93	0.81	1.36	0.78	1.39	0.74	1.79	1.26	28
noose	906	*	1.29	0.94	2.39	1.42	2.21	1.32	2.5	1.5	2.14	1.41	28
nourish	907	H  	3.4	1.13	1.27	0.58	1.47	0.9	1.43	0.82	1.4	0.77	30
nude	520	H*	3.52	1.21	1.19	0.54	1.16	0.52	1.55	0.81	1.32	0.6	31
nuisance	908	   	1.16	0.45	3.1	1.33	1.84	1.07	1.68	1.05	2.1	1.11	31
nun	909	   	2.43	1.33	1.33	0.8	1.53	0.94	1.23	0.57	1.3	0.88	30
nurse	538	   	2.18	1.25	1.21	0.79	1.46	0.92	1.64	1.16	1.18	0.77	28
nursery	910	H  	2.93	1.36	1.18	0.48	1.32	0.77	1.07	0.38	1.14	0.45	28
obesity	911	   	1.23	0.56	2.23	1.09	2.39	1.33	1.9	1.22	3.32	1.38	31
obey	912	   	1.86	1.27	2.07	1.12	1.54	0.92	1.57	1.03	1.43	0.79	28
obnoxious	913	   	1.23	0.57	3.43	1.43	1.43	0.73	1.57	0.97	3	1.46	30
obscene	914	   	1.38	0.73	2.21	1.08	1.59	0.87	1.72	1.13	2.86	1.19	29
obsession	915	   	1.59	0.87	1.9	1.01	2.24	1.24	2.28	1.19	2.07	1.22	29
ocean	297	H  	3.83	1.07	1.21	0.49	1.41	0.91	2	1.1	1.17	0.38	29
odd	916	   	1.61	0.88	1.46	0.74	1.54	0.96	1.5	0.75	1.64	0.87	28
offend	917	   	1.2	0.48	3.53	1.22	2.57	1.38	2.1	1.3	2.47	1.36	30
office	568	   	1.67	0.96	2.27	1.05	2.03	1.1	2.03	1.19	1.83	0.99	30
opinion	298	   	2.21	1.37	1.66	0.97	1.38	0.78	1.48	0.74	1.76	1.18	29
optimism	918	H  	3.76	1.12	1.14	0.44	1.03	0.19	1.21	0.77	1.14	0.58	29
option	919	*	2.52	1.43	1.41	0.91	1.17	0.6	1.59	1.15	1.17	0.47	29
orchestra	299	*	2.83	1.34	1.53	0.78	1.7	0.92	1.27	0.69	1.13	0.57	30
orgasm	920	H  	4.62	0.62	1.1	0.31	1.07	0.26	1.14	0.44	1.1	0.31	29
outdoors	521	H  	3.8	1.3	1.37	0.85	1.37	0.72	1.57	0.82	1.47	0.82	30
outrage	921	*	1.04	0.19	3.54	1.5	1.96	0.96	2.25	1.21	2.07	1.33	28
outstanding	922	H  	3.71	1.22	1.29	0.69	1.23	0.62	1.32	0.75	1.26	0.73	31
overcast	923	*	1.43	0.97	1.8	1.16	2.9	1.3	1.47	0.94	1.7	1.02	30
overwhelmed	300	   	1.64	1.16	2.46	1.37	1.89	1.13	2.54	1.26	1.43	0.79	28
owl	522	   	2.03	1.33	1.45	0.93	1.58	1.12	1.52	1	1.26	0.82	31
pain	301	*	1.24	0.69	3.21	1.05	2.9	1.21	3.03	0.98	2.28	1.31	29
paint	924	   	2.26	1.44	1.48	0.89	1.19	0.48	1.23	0.5	1.19	0.48	31
palace	302	H  	4	1.07	1.28	0.53	1.17	0.38	1.21	0.56	1.1	0.31	29
pamphlet	925	   	1.94	1.22	1.5	0.87	1.18	0.54	1.18	0.66	1.25	0.58	29
pancakes	523	H  	3.72	1.1	1.1	0.41	1.17	0.54	1.03	0.19	1.38	0.68	29
panic	601	*	1.33	0.76	2.5	1.2	2.4	1.16	3.47	1.48	1.73	0.98	30
paper	303	   	1.57	0.86	2.07	1.39	1.73	1.2	1.63	1.13	1.73	1.2	30
paradise	304	H  	4.82	0.48	1.07	0.26	1.04	0.19	1	0	1	0	28
paralysis	926	   	1.1	0.4	2.5	1.59	3.23	1.56	2.8	1.42	1.55	0.99	31
part	927	   	1.64	1.11	1.36	0.67	1.5	0.95	1.29	0.65	1.29	0.75	29
party	305	H  	3.97	1.22	1.45	0.96	1.39	0.92	1.48	0.85	1.29	0.82	31
passage	928	   	1.69	0.81	1.07	0.26	1.14	0.58	1.59	1.12	1.03	0.19	29
passion	306	H  	4.13	1.07	1.6	1	1.4	0.81	1.43	0.82	1.2	0.55	30
pasta	524	H  	2.97	1.12	1.1	0.31	1.03	0.19	1	0	1.24	0.69	29
patent	307	   	1.64	1.1	1.14	0.45	1.04	0.19	1.11	0.42	1.14	0.59	28
patient	929	   	1.86	1.01	1.64	0.95	1.86	1.27	1.68	1.12	1.25	0.8	28
patriot	930	*	3.07	1.31	1.87	1.01	1.57	1.07	1.7	0.92	1.37	0.85	30
peace	308	H  	4.43	1.04	1.07	0.25	1.33	0.84	1.13	0.43	1.1	0.55	30
penalty	931	   	1.06	0.25	2.74	1.06	1.87	0.92	2	1.13	1.42	0.89	31
pencil	309	   	1.29	0.66	1.61	1.23	1.18	0.55	1.07	0.38	1.39	1.03	28
penis	932	   	2.43	1.33	1.3	0.65	1.33	0.76	1.37	0.81	1.67	1.06	30
penthouse	933	H*	3.52	1.3	1.34	0.77	1.38	0.98	1.21	0.56	1.62	1.12	29
people	525	*	2.71	1.37	1.86	1.02	1.77	1.09	1.68	1.01	1.81	1.05	31
perfection	310	H  	3.79	1.13	1.46	0.88	1.36	0.78	1.57	1.07	1.36	0.78	28
perfume	934	H  	2.68	1.33	1.32	0.77	1.18	0.61	1.04	0.19	1.32	0.86	28
person	311	   	3.1	1.42	2.2	1.37	2.17	1.39	2	1.36	1.87	1.33	30
pervert	312	*	1.06	0.25	2.74	1.44	2.06	1.34	2.03	1.38	3.9	1.47	31
pest	313	   	1.2	0.55	3.33	1.3	1.83	1.02	2	1.17	3.07	1.34	30
pet	935	H  	3.9	1.18	1.3	0.6	1.77	1.04	1.2	0.48	1.4	0.72	30
phase	936	   	1.67	1.15	1.83	1.15	1.6	0.89	1.43	0.73	1.4	0.77	30
pie	314	H  	3.79	1.26	1.21	0.62	1.14	0.35	1.07	0.26	1.31	0.71	29
pig	937	   	2	1.25	1.32	0.72	1.25	0.75	1.25	0.65	2.18	1.06	28
pillow	315	H  	3.26	1.29	1.26	0.58	1.26	0.58	1.1	0.4	1.13	0.43	31
pinch	938	   	1.25	0.65	2.32	1.09	1.39	0.88	1.61	1.07	1.29	0.66	28
pistol	939	   	1.54	0.91	2.47	1.24	2.06	1.1	3.01	1.39	2.03	1.02	29
pity	940	   	1.14	0.52	1.93	1.15	2.96	1.35	1.57	1.1	1.82	1.25	28
pizza	526	H  	3.96	1.17	1.04	0.19	1	0	1	0	1.07	0.26	28
plain	941	   	1.61	0.88	1.57	1	1.64	0.95	1.39	0.69	1.36	0.62	28
plane	539	   	2.2	1.16	1.47	0.82	1.4	0.81	2.03	0.93	1.33	0.96	30
plant	316	*	2.11	1.34	1.07	0.26	1.04	0.19	1	0	1.04	0.19	28
pleasure	317	H  	4.53	0.94	1.2	0.55	1.2	0.55	1.43	0.82	1.33	0.76	30
poetry	318	   	2.61	1.47	1.64	1.1	2.14	1.27	1.54	1.07	1.43	0.92	28
poison	319	   	1.04	0.19	2.54	1.4	2.43	1.45	3.57	1.23	2.54	1.5	28
politeness	320	H  	3.16	1.29	1.16	0.45	1.23	0.56	1.26	0.58	1.19	0.54	31
pollute	321	*	1	0.01	2.75	1.24	2.39	1.07	2.46	1.26	3.79	1.32	28
poster	942	   	2.25	1.29	1.14	0.36	1	0	1	0	1.04	0.19	28
poverty	322	   	1.04	0.19	2.68	1.59	3.64	1.19	2.57	1.57	2.43	1.5	28
power	323	   	3.31	1.23	1.69	1	1.31	0.71	2.28	1.31	1.52	0.87	29
powerful	324	H*	3.32	1.28	1.5	0.92	1.11	0.31	1.96	1.23	1.25	0.7	28
prairie	325	   	2.55	1.5	1.19	0.65	1.23	0.8	1.16	0.52	1.13	0.43	31
present	943	H  	4.1	1.16	1.19	0.48	1.29	0.59	1.19	0.54	1.06	0.36	31
pressure	944	   	1.43	0.68	2.33	1.09	2.1	1.03	2.77	1.3	1.9	1.06	30
prestige	945	H  	3.8	1.06	1.4	0.77	1.23	0.57	1.33	0.76	1.33	0.8	30
pretty	326	H  	4.03	1.3	1.33	0.71	1.57	0.97	1.37	0.89	1.2	0.66	30
prick	946	   	1.38	0.94	2.83	1.42	1.72	1.13	1.55	1.12	2.41	1.43	29
pride	327	H  	3.72	1.33	1.59	0.95	1.34	0.72	1.28	0.65	1.48	0.99	29
priest	328	   	2.86	1.48	1.48	0.95	1.31	0.89	1.52	1.09	1.72	1.19	29
prison	329	neg	1.1	0.4	3	1.41	3.27	1.28	3.47	1.11	3.37	1.43	30
privacy	330	*	2.69	1.34	1.38	0.78	1.41	0.68	1.52	0.83	1.21	0.49	29
profit	331	H  	3.83	1.46	1.23	0.68	1.17	0.46	1.17	0.53	1.27	0.69	30
progress	947	H  	3.39	1.13	1.14	0.45	1.07	0.38	1.39	0.63	1	0	28
promotion	332	H  	4.07	1.17	1.23	0.5	1.27	0.64	1.37	0.61	1.27	0.83	30
protected	333	H  	3.93	1.1	1.28	0.7	1.24	0.58	1.57	0.98	1.17	0.6	29
proud	334	H*	3.21	1.42	1.5	0.88	1.21	0.63	1.46	0.84	1.21	0.57	28
pungent	948	   	1.21	0.57	1.57	1.07	1.39	0.88	1.46	0.88	2.54	1.5	28
punishment	335	   	1.21	0.56	3.34	1.14	2.83	1.2	2.9	1.35	1.9	1.11	29
puppy	336	H  	3.93	1.28	1.24	0.64	1.31	0.93	1.1	0.41	1.1	0.31	29
pus	602	D  	1.21	0.62	1.55	1.02	1.45	0.95	1.83	1.28	3.72	1.41	29
putrid	337	   	1.42	0.81	1.86	0.9	1.66	0.84	1.72	0.94	2.96	1.65	30
python	949	   	1.32	0.75	1.68	1.19	1.39	0.84	3.32	1.47	2.1	1.3	31
quality	950	H  	3.27	1.48	1.63	0.89	1.4	0.86	1.23	0.5	1.4	0.67	30
quarrel	338	   	1.17	0.46	3.17	1.46	2.17	1.15	2.13	1.28	1.7	0.88	30
quart	951	   	1.45	0.77	1.16	0.45	1.13	0.43	1.1	0.4	1.16	0.52	31
queen	952	*	2.29	1.27	1.45	0.89	1.42	0.85	1.32	0.91	1.19	0.6	31
quick	953	   	2.52	1.27	1.38	0.68	1.28	0.65	1.45	0.87	1.24	0.91	29
quiet	339	   	2.13	1.2	1.42	0.67	2	1.1	1.68	0.87	1.16	0.45	31
rabbit	527	H  	3	1.34	1.2	0.48	1.3	0.6	1.17	0.46	1.17	0.46	30
rabies	340	*	1	0	2.5	1.5	2.57	1.4	3.25	1.51	3.14	1.43	28
radiant	954	H  	3.45	1.33	1.24	0.83	1.21	0.68	1.21	0.77	1.1	0.31	29
radiator	955	   	1.41	0.78	1.55	1.12	1.31	0.66	1.34	0.77	1.34	0.9	29
radio	341	H  	3.1	1.3	1.6	0.93	1.2	0.55	1.17	0.53	1.37	0.89	30
rage	342	A*	1.31	0.89	4.14	1.25	1.93	1.33	2.52	1.55	2.17	1.42	29
rain	569	   	2.38	1.4	1.6	1.11	2.17	0.97	1.38	0.9	1.34	0.86	29
rainbow	343	H  	3.57	1.33	1.13	0.51	1.13	0.57	1.13	0.51	1.17	0.53	30
rancid	956	D  	1	0	1.89	1.07	1.56	0.96	2.22	1.45	3.63	1.39	28
rape	344	*	1.07	0.37	4.21	1.29	3.97	1.38	2.79	1.74	4.41	1.15	29
rat	345	   	1.17	0.47	2.24	1.35	1.41	0.98	2.3	1.44	3.41	1.32	29
rattle	346	   	2	1.25	1.45	0.87	1.45	0.91	1.55	1.21	1.17	0.47	29
razor	957	   	1.19	0.48	1.71	1.04	1.74	1.03	2.23	1.18	1.32	0.75	31
red	570	   	2.11	1.45	2.14	1.3	1.36	0.68	1.68	1.09	1.21	0.69	28
refreshment	347	H  	3.61	1.23	1.04	0.19	1.04	0.19	1	0	1	0	28
regretful	348	   	1.27	0.69	2.63	1.13	3.5	1.2	2.57	1.3	2.7	1.39	30
rejected	349	ASF	1	0	3.43	1.43	3.89	1.2	3.32	1.33	1.96	1.43	28
relaxed	350	H  	4.19	0.98	1.06	0.25	1.03	0.18	1.1	0.3	1	0	31
repentant	351	   	1.55	0.99	1.58	1.06	1.81	0.98	1.39	0.72	1.45	0.93	31
reptile	958	   	1.71	1.05	1.11	0.42	1.04	0.19	1.89	1.13	1.61	0.96	28
rescue	352	H  	4.14	0.92	1.34	0.97	1.69	1.14	2.03	1.4	1.17	0.76	29
resent	959	   	1.38	1.08	2.38	1.21	2.03	1.27	1.86	1.19	1.9	1.05	29
reserved	353	   	2.07	1.31	1.57	0.9	1.73	1.08	1.73	1.05	1.33	0.8	30
respect	354	H  	3.9	1.08	1.34	0.81	1.24	0.58	1.52	0.83	1.07	0.26	29
respectful	355	H  	3.8	1.16	1.37	0.67	1.2	0.61	1.5	0.9	1.27	0.52	30
restaurant	960	H  	2.83	1.42	1.41	0.91	1.41	0.95	1.38	0.73	1.41	0.91	29
reunion	961	H  	3.97	1.4	1.21	0.68	1.41	0.68	1.48	0.99	1.14	0.58	29
reverent	356	   	2.43	1.51	1.28	0.83	1.36	0.76	1.27	0.57	1.12	0.41	29
revolt	357	   	1.69	1.23	2.55	1.35	1.83	1.17	2.1	1.18	1.79	1.35	29
revolver	962	   	1.36	0.73	2.29	1.21	1.86	1.3	2.89	1.4	1.5	1.04	28
reward	358	H  	4.34	1.08	1.38	0.86	1.14	0.74	1.14	0.74	1.03	0.19	29
riches	359	H  	4.11	1.25	1.35	0.8	1.1	0.3	1.39	0.72	1.35	0.8	31
ridicule	360	*	1.14	0.45	3.29	1.44	2.29	1.24	2.04	1.17	1.86	1.18	28
rifle	603	   	1.63	0.96	2.43	1.55	1.8	1.32	2.83	1.53	1.8	1.42	30
rigid	963	   	1.42	0.73	1.81	1.2	1.82	1.04	1.7	0.93	1.52	0.98	29
riot	361	   	1.19	0.48	2.9	1.19	2.06	1.09	2.55	1.21	1.55	0.85	31
river	362	   	2.93	1.44	1.48	0.99	1.28	0.84	1.52	0.99	1.31	0.93	29
roach	363	D*	1.21	0.56	1.71	0.96	1.45	0.91	2.34	1.26	4.03	1.15	29
robber	964	*	1	0	3.57	1.35	2.29	1.18	3.07	1.3	2.29	1.46	28
rock	965	   	1.87	1.25	1.4	0.77	1.27	0.74	1.47	0.94	1.4	0.97	30
rollercoaster	528	HF 	3.4	1.32	1.41	0.98	1.14	0.74	2.78	1.35	1.14	0.74	29
romantic	364	H  	3.93	1.2	1.23	0.63	1.47	0.78	1.83	1.21	1.13	0.43	30
rotten	365	D  	1.03	0.18	1.94	1.15	1.61	0.99	1.74	1.18	3.71	1.4	31
rough	966	   	1.57	0.84	2.21	0.92	1.54	0.79	1.79	0.96	1.25	0.65	28
rude	366	A*	1	0	3.71	0.94	1.93	1.27	1.61	1.03	2.68	1.31	28
runner	571	   	2.5	1.5	1.25	0.84	1.21	0.63	1.11	0.42	1.07	0.38	28
rusty	367	   	1.3	0.6	1.97	1.25	1.9	1.09	1.67	1.03	2.22	1.06	30
sad	368	S  	1.14	0.57	2.4	1.19	4.23	1.28	2.13	1.33	1.63	0.96	30
safe	967	H  	3.93	1.21	1.04	0.19	1.04	0.19	1.5	0.92	1	0	28
sailboat	529	H  	3.45	1.24	1.17	0.47	1.17	0.47	1.59	0.87	1.1	0.41	29
saint	968	H  	3.61	1.26	1.13	0.43	1.13	0.43	1.1	0.3	1.19	0.6	31
salad	369	H  	2.79	1.45	1.03	0.19	1.07	0.37	1.03	0.19	1.14	0.44	29
salute	370	   	2.9	1.35	1.48	0.78	1.41	0.78	1.59	1.09	1.21	0.68	29
sapphire	371	H  	2.83	1.34	1.27	0.52	1.3	0.75	1.27	0.69	1.2	0.76	30
satisfied	372	H  	3.86	0.93	1.04	0.19	1.04	0.19	1.14	0.45	1.04	0.19	28
save	969	H  	3.41	1.27	1.1	0.41	1.21	0.62	1.28	0.53	1.03	0.19	29
savior	373	H  	3.86	1.27	1.11	0.42	1.22	0.57	1.4	0.99	1.07	0.38	28
scalding	970	*	1.33	0.84	2.77	1.25	2.4	1.22	2.93	1.31	2.27	1.23	30
scandal	971	   	1.17	0.38	3.13	1.46	2.37	1.25	2.63	1.3	3.03	1.59	30
scapegoat	972	   	1.04	0.19	2.46	0.96	1.82	0.86	1.68	0.86	2.04	1.37	28
scar	973	   	1.16	0.37	1.94	1.18	2.06	1.21	1.9	1.25	1.68	0.91	31
scared	604	   	1.28	0.7	2.38	1.37	2.66	1.26	3.97	1.35	1.69	1.17	29
scholar	374	H  	3.13	1.25	1.37	0.61	1.33	0.71	1.27	0.58	1.13	0.35	30
scissors	974	   	1.4	0.67	1.53	0.9	1.43	0.82	1.83	1.26	1.23	0.57	30
scorching	975	   	1.19	0.4	2.48	1.31	1.79	0.87	2.52	1.31	1.73	1.12	31
scorn	375	   	1.1	0.4	3.7	1.15	2.6	1.4	2.9	1.49	2.23	1.3	30
scornful	376	A*	1.19	0.75	3.39	1.12	1.94	1.12	1.77	1.12	1.45	0.96	31
scorpion	976	   	1.27	0.52	2	1.08	1.53	0.78	3.23	1.19	2.23	1.22	30
scream	605	   	1.57	1.07	2.36	1.25	2.21	1.17	3.14	1.56	1.43	0.69	28
scum	377	D  	1	0	2.07	1.18	1.39	0.83	1.71	1.15	3.89	1.29	28
scurvy	378	   	1.2	0.54	1.96	1.23	2.11	1.13	2.39	1.34	2.76	1.4	28
seasick	379	   	1.1	0.4	1.65	1.05	2.23	1.18	2.13	1.38	2.97	1.43	31
seat	380	   	1.61	0.92	1.07	0.38	1.14	0.52	1.07	0.38	1.07	0.38	28
secure	381	H  	3.76	1.24	1.24	0.91	1.24	0.83	1.48	1.02	1.14	0.74	29
selfish	382	   	1.33	0.71	3.43	1.22	2.2	0.89	1.77	0.97	2.9	1.35	30
sentiment	977	   	2.61	1.34	1.18	0.48	1.64	1.1	1.14	0.36	1.07	0.26	28
serious	383	   	1.21	0.42	1.75	0.89	1.25	0.52	1.68	0.9	1.11	0.31	28
severe	978	   	1.4	0.72	2.43	1.28	2.13	1.2	2.4	1.33	1.8	1	30
sex	384	H  	4.55	0.91	1.34	0.81	1.31	0.66	1.24	0.51	1.21	0.56	29
sexy	530	H  	4.39	1.05	1.13	0.56	1.19	0.6	1.16	0.58	1.16	0.45	31
shadow	385	   	1.54	0.92	1.21	0.5	1.57	0.88	2.14	1.11	1.14	0.36	28
shamed	386	*	1.31	0.85	2.93	1.31	3.55	1.33	2.34	1.17	2.9	1.63	29
shark	606	*	1.52	0.85	1.94	1.15	1.68	1.01	3.06	1.41	1.45	1.06	31
sheltered	387	   	2.3	1.29	1.8	1.06	1.8	1.1	1.8	1.1	1.67	1.03	30
ship	388	   	2.07	1.28	1.17	0.47	1.24	0.83	1.45	0.95	1.14	0.52	29
shotgun	979	   	1.9	1.06	2.53	1.22	1.67	0.96	3.03	1.3	1.8	1.16	30
